global_idx,state_id,location,timestamp_utc,npz_path
21,athens_gr_20251112T092005Z_s2a_msil2a_20251112t091321_n0511,athens_gr,2025-11-12T09:20:05.611000+00:00,cloud_state_dataset\states_npz\athens_gr_20251112T092005Z_s2a_msil2a_20251112t091321_n0511.npz
22,athens_gr_20251115T091946Z_s2b_msil2a_20251115t091139_n0511,athens_gr,2025-11-15T09:19:46.507000+00:00,cloud_state_dataset\states_npz\athens_gr_20251115T091946Z_s2b_msil2a_20251115t091139_n0511.npz
23,athens_gr_20251115T091947Z_s2b_msil2a_20251115t091139_n0511,athens_gr,2025-11-15T09:19:47.524000+00:00,cloud_state_dataset\states_npz\athens_gr_20251115T091947Z_s2b_msil2a_20251115t091139_n0511.npz
24,athens_gr_20251120T091959Z_s2c_msil2a_20251120t091311_n0511,athens_gr,2025-11-20T09:19:59.834000+00:00,cloud_state_dataset\states_npz\athens_gr_20251120T091959Z_s2c_msil2a_20251120t091311_n0511.npz
25,athens_gr_20251120T092000Z_s2c_msil2a_20251120t091311_n0511,athens_gr,2025-11-20T09:20:00.861000+00:00,cloud_state_dataset\states_npz\athens_gr_20251120T092000Z_s2c_msil2a_20251120t091311_n0511.npz
26,athens_gr_20251122T092007Z_s2a_msil2a_20251122t091321_n0511,athens_gr,2025-11-22T09:20:07.225000+00:00,cloud_state_dataset\states_npz\athens_gr_20251122T092007Z_s2a_msil2a_20251122t091321_n0511.npz
27,athens_gr_20251122T092008Z_s2a_msil2a_20251122t091321_n0511,athens_gr,2025-11-22T09:20:08.241000+00:00,cloud_state_dataset\states_npz\athens_gr_20251122T092008Z_s2a_msil2a_20251122t091321_n0511.npz
28,athens_gr_20251125T091943Z_s2b_msil2a_20251125t091219_n0511,athens_gr,2025-11-25T09:19:43.579000+00:00,cloud_state_dataset\states_npz\athens_gr_20251125T091943Z_s2b_msil2a_20251125t091219_n0511.npz
29,athens_gr_20251125T091944Z_s2b_msil2a_20251125t091219_n0511,athens_gr,2025-11-25T09:19:44.588000+00:00,cloud_state_dataset\states_npz\athens_gr_20251125T091944Z_s2b_msil2a_20251125t091219_n0511.npz
30,athens_gr_20251130T091958Z_s2c_msil2a_20251130t091341_n0511,athens_gr,2025-11-30T09:19:58.820000+00:00,cloud_state_dataset\states_npz\athens_gr_20251130T091958Z_s2c_msil2a_20251130t091341_n0511.npz
31,athens_gr_20251130T091959Z_s2c_msil2a_20251130t091341_n0511,athens_gr,2025-11-30T09:19:59.849000+00:00,cloud_state_dataset\states_npz\athens_gr_20251130T091959Z_s2c_msil2a_20251130t091341_n0511.npz
32,athens_gr_20251202T092007Z_s2a_msil2a_20251202t091401_n0511,athens_gr,2025-12-02T09:20:07.037000+00:00,cloud_state_dataset\states_npz\athens_gr_20251202T092007Z_s2a_msil2a_20251202t091401_n0511.npz
33,athens_gr_20251202T092008Z_s2a_msil2a_20251202t091401_n0511,athens_gr,2025-12-02T09:20:08.051000+00:00,cloud_state_dataset\states_npz\athens_gr_20251202T092008Z_s2a_msil2a_20251202t091401_n0511.npz
34,athens_gr_20251205T091946Z_s2b_msil2a_20251205t091249_n0511,athens_gr,2025-12-05T09:19:46.534000+00:00,cloud_state_dataset\states_npz\athens_gr_20251205T091946Z_s2b_msil2a_20251205t091249_n0511.npz
35,athens_gr_20251205T091947Z_s2b_msil2a_20251205t091249_n0511,athens_gr,2025-12-05T09:19:47.545000+00:00,cloud_state_dataset\states_npz\athens_gr_20251205T091947Z_s2b_msil2a_20251205t091249_n0511.npz
36,athens_gr_20251210T091958Z_s2c_msil2a_20251210t091411_n0511,athens_gr,2025-12-10T09:19:58.538000+00:00,cloud_state_dataset\states_npz\athens_gr_20251210T091958Z_s2c_msil2a_20251210t091411_n0511.npz
37,athens_gr_20251210T091959Z_s2c_msil2a_20251210t091411_n0511,athens_gr,2025-12-10T09:19:59.566000+00:00,cloud_state_dataset\states_npz\athens_gr_20251210T091959Z_s2c_msil2a_20251210t091411_n0511.npz
38,athens_gr_20251212T092004Z_s2a_msil2a_20251212t091421_n0511,athens_gr,2025-12-12T09:20:04.732000+00:00,cloud_state_dataset\states_npz\athens_gr_20251212T092004Z_s2a_msil2a_20251212t091421_n0511.npz
39,athens_gr_20251212T092005Z_s2a_msil2a_20251212t091421_n0511,athens_gr,2025-12-12T09:20:05.736000+00:00,cloud_state_dataset\states_npz\athens_gr_20251212T092005Z_s2a_msil2a_20251212t091421_n0511.npz
40,athens_gr_20251215T091948Z_s2b_msil2a_20251215t091309_n0511,athens_gr,2025-12-15T09:19:48.270000+00:00,cloud_state_dataset\states_npz\athens_gr_20251215T091948Z_s2b_msil2a_20251215t091309_n0511.npz
41,athens_gr_20251215T091949Z_s2b_msil2a_20251215t091309_n0511,athens_gr,2025-12-15T09:19:49.287000+00:00,cloud_state_dataset\states_npz\athens_gr_20251215T091949Z_s2b_msil2a_20251215t091309_n0511.npz
42,athens_gr_20251220T091957Z_s2c_msil2a_20251220t091411_n0511,athens_gr,2025-12-20T09:19:57.995000+00:00,cloud_state_dataset\states_npz\athens_gr_20251220T091957Z_s2c_msil2a_20251220t091411_n0511.npz
43,athens_gr_20251220T091959Z_s2c_msil2a_20251220t091411_n0511,athens_gr,2025-12-20T09:19:59.022000+00:00,cloud_state_dataset\states_npz\athens_gr_20251220T091959Z_s2c_msil2a_20251220t091411_n0511.npz
44,athens_gr_20251222T092008Z_s2a_msil2a_20251222t091431_n0511,athens_gr,2025-12-22T09:20:08.410000+00:00,cloud_state_dataset\states_npz\athens_gr_20251222T092008Z_s2a_msil2a_20251222t091431_n0511.npz
45,athens_gr_20251222T092009Z_s2a_msil2a_20251222t091431_n0511,athens_gr,2025-12-22T09:20:09.424000+00:00,cloud_state_dataset\states_npz\athens_gr_20251222T092009Z_s2a_msil2a_20251222t091431_n0511.npz
46,athens_gr_20251225T091949Z_s2b_msil2a_20251225t091309_n0511,athens_gr,2025-12-25T09:19:49.518000+00:00,cloud_state_dataset\states_npz\athens_gr_20251225T091949Z_s2b_msil2a_20251225t091309_n0511.npz
47,athens_gr_20251225T091950Z_s2b_msil2a_20251225t091309_n0511,athens_gr,2025-12-25T09:19:50.539000+00:00,cloud_state_dataset\states_npz\athens_gr_20251225T091950Z_s2b_msil2a_20251225t091309_n0511.npz
48,athens_gr_20251230T091957Z_s2c_msil2a_20251230t091411_n0511,athens_gr,2025-12-30T09:19:57.746000+00:00,cloud_state_dataset\states_npz\athens_gr_20251230T091957Z_s2c_msil2a_20251230t091411_n0511.npz
49,athens_gr_20251230T091958Z_s2c_msil2a_20251230t091411_n0511,athens_gr,2025-12-30T09:19:58.774000+00:00,cloud_state_dataset\states_npz\athens_gr_20251230T091958Z_s2c_msil2a_20251230t091411_n0511.npz
50,cairo_eg_20250713T084211Z_s2a_msil2a_20250713t082751_n0511,cairo_eg,2025-07-13T08:42:11.726000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250713T084211Z_s2a_msil2a_20250713t082751_n0511.npz
51,cairo_eg_20250716T084155Z_s2b_msil2a_20250716t082609_n0511,cairo_eg,2025-07-16T08:41:55.806000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250716T084155Z_s2b_msil2a_20250716t082609_n0511.npz
52,cairo_eg_20250721T084215Z_s2c_msil2a_20250721t082631_n0511,cairo_eg,2025-07-21T08:42:15.533000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250721T084215Z_s2c_msil2a_20250721t082631_n0511.npz
53,cairo_eg_20250723T084211Z_s2a_msil2a_20250723t083531_n0511,cairo_eg,2025-07-23T08:42:11.611000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250723T084211Z_s2a_msil2a_20250723t083531_n0511.npz
54,cairo_eg_20250726T084154Z_s2b_msil2a_20250726t082559_n0511,cairo_eg,2025-07-26T08:41:54.033000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250726T084154Z_s2b_msil2a_20250726t082559_n0511.npz
55,cairo_eg_20250731T084213Z_s2c_msil2a_20250731t082711_n0511,cairo_eg,2025-07-31T08:42:13.686000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250731T084213Z_s2c_msil2a_20250731t082711_n0511.npz
56,cairo_eg_20250802T084209Z_s2a_msil2a_20250802t082751_n0511,cairo_eg,2025-08-02T08:42:09.548000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250802T084209Z_s2a_msil2a_20250802t082751_n0511.npz
57,cairo_eg_20250805T084153Z_s2b_msil2a_20250805t082559_n0511,cairo_eg,2025-08-05T08:41:53.515000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250805T084153Z_s2b_msil2a_20250805t082559_n0511.npz
58,cairo_eg_20250812T084205Z_s2a_msil2a_20250812t083521_n0511,cairo_eg,2025-08-12T08:42:05.569000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250812T084205Z_s2a_msil2a_20250812t083521_n0511.npz
59,cairo_eg_20250815T084154Z_s2b_msil2a_20250815t082559_n0511,cairo_eg,2025-08-15T08:41:54.791000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250815T084154Z_s2b_msil2a_20250815t082559_n0511.npz
60,cairo_eg_20250820T084212Z_s2c_msil2a_20250820t082711_n0511,cairo_eg,2025-08-20T08:42:12.039000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250820T084212Z_s2c_msil2a_20250820t082711_n0511.npz
61,cairo_eg_20250822T084206Z_s2a_msil2a_20250822t082751_n0511,cairo_eg,2025-08-22T08:42:06.591000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250822T084206Z_s2a_msil2a_20250822t082751_n0511.npz
62,cairo_eg_20250825T084154Z_s2b_msil2a_20250825t082559_n0511,cairo_eg,2025-08-25T08:41:54.317000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250825T084154Z_s2b_msil2a_20250825t082559_n0511.npz
63,cairo_eg_20250830T084211Z_s2c_msil2a_20250830t082711_n0511,cairo_eg,2025-08-30T08:42:11.236000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250830T084211Z_s2c_msil2a_20250830t082711_n0511.npz
64,cairo_eg_20250901T084206Z_s2a_msil2a_20250901t083531_n0511,cairo_eg,2025-09-01T08:42:06.757000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250901T084206Z_s2a_msil2a_20250901t083531_n0511.npz
65,cairo_eg_20250904T084151Z_s2b_msil2a_20250904t082559_n0511,cairo_eg,2025-09-04T08:41:51.567000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250904T084151Z_s2b_msil2a_20250904t082559_n0511.npz
66,cairo_eg_20250911T084204Z_s2a_msil2a_20250911t082751_n0511,cairo_eg,2025-09-11T08:42:04.410000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250911T084204Z_s2a_msil2a_20250911t082751_n0511.npz
67,cairo_eg_20250914T084150Z_s2b_msil2a_20250914t082559_n0511,cairo_eg,2025-09-14T08:41:50.755000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250914T084150Z_s2b_msil2a_20250914t082559_n0511.npz
68,cairo_eg_20250919T084205Z_s2c_msil2a_20250919t082631_n0511,cairo_eg,2025-09-19T08:42:05.320000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250919T084205Z_s2c_msil2a_20250919t082631_n0511.npz
69,cairo_eg_20250921T084207Z_s2a_msil2a_20250921t083531_n0511,cairo_eg,2025-09-21T08:42:07.497000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250921T084207Z_s2a_msil2a_20250921t083531_n0511.npz
70,cairo_eg_20250924T084152Z_s2b_msil2a_20250924t082559_n0511,cairo_eg,2025-09-24T08:41:52.024000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250924T084152Z_s2b_msil2a_20250924t082559_n0511.npz
71,cairo_eg_20250929T084208Z_s2c_msil2a_20250929t082751_n0511,cairo_eg,2025-09-29T08:42:08.006000+00:00,cloud_state_dataset\states_npz\cairo_eg_20250929T084208Z_s2c_msil2a_20250929t082751_n0511.npz
72,cairo_eg_20251001T084208Z_s2a_msil2a_20251001t082801_n0511,cairo_eg,2025-10-01T08:42:08.098000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251001T084208Z_s2a_msil2a_20251001t082801_n0511.npz
73,cairo_eg_20251004T084152Z_s2b_msil2a_20251004t082709_n0511,cairo_eg,2025-10-04T08:41:52.273000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251004T084152Z_s2b_msil2a_20251004t082709_n0511.npz
74,cairo_eg_20251009T084206Z_s2c_msil2a_20251009t082901_n0511,cairo_eg,2025-10-09T08:42:06.204000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251009T084206Z_s2c_msil2a_20251009t082901_n0511.npz
75,cairo_eg_20251011T084207Z_s2a_msil2a_20251011t083531_n0511,cairo_eg,2025-10-11T08:42:07.168000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251011T084207Z_s2a_msil2a_20251011t083531_n0511.npz
76,cairo_eg_20251014T084151Z_s2b_msil2a_20251014t082819_n0511,cairo_eg,2025-10-14T08:41:51.887000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251014T084151Z_s2b_msil2a_20251014t082819_n0511.npz
77,cairo_eg_20251019T084203Z_s2c_msil2a_20251019t082951_n0511,cairo_eg,2025-10-19T08:42:03.853000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251019T084203Z_s2c_msil2a_20251019t082951_n0511.npz
78,cairo_eg_20251021T084207Z_s2a_msil2a_20251021t083021_n0511,cairo_eg,2025-10-21T08:42:07.657000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251021T084207Z_s2a_msil2a_20251021t083021_n0511.npz
79,cairo_eg_20251024T084152Z_s2b_msil2a_20251024t082929_n0511,cairo_eg,2025-10-24T08:41:52.284000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251024T084152Z_s2b_msil2a_20251024t082929_n0511.npz
80,cairo_eg_20251029T084205Z_s2c_msil2a_20251029t083101_n0511,cairo_eg,2025-10-29T08:42:05.478000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251029T084205Z_s2c_msil2a_20251029t083101_n0511.npz
81,cairo_eg_20251031T084209Z_s2a_msil2a_20251031t083531_n0511,cairo_eg,2025-10-31T08:42:09.081000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251031T084209Z_s2a_msil2a_20251031t083531_n0511.npz
82,cairo_eg_20251103T084149Z_s2b_msil2a_20251103t083029_n0511,cairo_eg,2025-11-03T08:41:49.338000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251103T084149Z_s2b_msil2a_20251103t083029_n0511.npz
83,cairo_eg_20251108T084204Z_s2c_msil2a_20251108t083201_n0511,cairo_eg,2025-11-08T08:42:04.051000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251108T084204Z_s2c_msil2a_20251108t083201_n0511.npz
84,cairo_eg_20251110T084207Z_s2a_msil2a_20251110t083211_n0511,cairo_eg,2025-11-10T08:42:07.469000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251110T084207Z_s2a_msil2a_20251110t083211_n0511.npz
85,cairo_eg_20251113T084148Z_s2b_msil2a_20251113t083119_n0511,cairo_eg,2025-11-13T08:41:48.784000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251113T084148Z_s2b_msil2a_20251113t083119_n0511.npz
86,cairo_eg_20251118T084201Z_s2c_msil2a_20251118t083241_n0511,cairo_eg,2025-11-18T08:42:01.866000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251118T084201Z_s2c_msil2a_20251118t083241_n0511.npz
87,cairo_eg_20251120T084208Z_s2a_msil2a_20251120t083531_n0511,cairo_eg,2025-11-20T08:42:08.967000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251120T084208Z_s2a_msil2a_20251120t083531_n0511.npz
88,cairo_eg_20251123T084146Z_s2b_msil2a_20251123t083159_n0511,cairo_eg,2025-11-23T08:41:46.485000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251123T084146Z_s2b_msil2a_20251123t083159_n0511.npz
89,cairo_eg_20251128T084201Z_s2c_msil2a_20251128t083321_n0511,cairo_eg,2025-11-28T08:42:01.396000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251128T084201Z_s2c_msil2a_20251128t083321_n0511.npz
90,cairo_eg_20251130T084209Z_s2a_msil2a_20251130t083331_n0511,cairo_eg,2025-11-30T08:42:09.384000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251130T084209Z_s2a_msil2a_20251130t083331_n0511.npz
91,cairo_eg_20251203T084147Z_s2b_msil2a_20251203t083229_n0511,cairo_eg,2025-12-03T08:41:47.752000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251203T084147Z_s2b_msil2a_20251203t083229_n0511.npz
92,cairo_eg_20251208T084200Z_s2c_msil2a_20251208t083341_n0511,cairo_eg,2025-12-08T08:42:00.361000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251208T084200Z_s2c_msil2a_20251208t083341_n0511.npz
93,cairo_eg_20251210T084206Z_s2a_msil2a_20251210t083531_n0511,cairo_eg,2025-12-10T08:42:06.406000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251210T084206Z_s2a_msil2a_20251210t083531_n0511.npz
94,cairo_eg_20251213T084150Z_s2b_msil2a_20251213t083249_n0511,cairo_eg,2025-12-13T08:41:50.279000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251213T084150Z_s2b_msil2a_20251213t083249_n0511.npz
95,cairo_eg_20251218T084200Z_s2c_msil2a_20251218t083401_n0511,cairo_eg,2025-12-18T08:42:00.365000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251218T084200Z_s2c_msil2a_20251218t083401_n0511.npz
96,cairo_eg_20251220T084209Z_s2a_msil2a_20251220t083411_n0511,cairo_eg,2025-12-20T08:42:09.409000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251220T084209Z_s2a_msil2a_20251220t083411_n0511.npz
97,cairo_eg_20251223T084151Z_s2b_msil2a_20251223t083259_n0511,cairo_eg,2025-12-23T08:41:51.331000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251223T084151Z_s2b_msil2a_20251223t083259_n0511.npz
98,cairo_eg_20251228T084200Z_s2c_msil2a_20251228t083401_n0511,cairo_eg,2025-12-28T08:42:00.047000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251228T084200Z_s2c_msil2a_20251228t083401_n0511.npz
99,cairo_eg_20251230T084213Z_s2a_msil2a_20251230t083531_n0511,cairo_eg,2025-12-30T08:42:13.579000+00:00,cloud_state_dataset\states_npz\cairo_eg_20251230T084213Z_s2a_msil2a_20251230t083531_n0511.npz
100,casablanca_ma_20250624T112158Z_s2b_msil2a_20250624t110619_n0511,casablanca_ma,2025-06-24T11:21:58.416000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250624T112158Z_s2b_msil2a_20250624t110619_n0511.npz
101,casablanca_ma_20250629T112218Z_s2c_msil2a_20250629t110641_n0511,casablanca_ma,2025-06-29T11:22:18.178000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250629T112218Z_s2c_msil2a_20250629t110641_n0511.npz
102,casablanca_ma_20250704T112200Z_s2b_msil2a_20250704t110619_n0511,casablanca_ma,2025-07-04T11:22:00.194000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250704T112200Z_s2b_msil2a_20250704t110619_n0511.npz
103,casablanca_ma_20250709T112219Z_s2c_msil2a_20250709t110641_n0511,casablanca_ma,2025-07-09T11:22:19.884000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250709T112219Z_s2c_msil2a_20250709t110641_n0511.npz
104,casablanca_ma_20250711T112215Z_s2a_msil2a_20250711t110651_n0511,casablanca_ma,2025-07-11T11:22:15.972000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250711T112215Z_s2a_msil2a_20250711t110651_n0511.npz
105,casablanca_ma_20250714T112200Z_s2b_msil2a_20250714t110619_n0511,casablanca_ma,2025-07-14T11:22:00.374000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250714T112200Z_s2b_msil2a_20250714t110619_n0511.npz
106,casablanca_ma_20250719T112220Z_s2c_msil2a_20250719t110641_n0511,casablanca_ma,2025-07-19T11:22:20.072000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250719T112220Z_s2c_msil2a_20250719t110641_n0511.npz
107,casablanca_ma_20250724T112158Z_s2b_msil2a_20250724t110619_n0511,casablanca_ma,2025-07-24T11:21:58.930000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250724T112158Z_s2b_msil2a_20250724t110619_n0511.npz
108,casablanca_ma_20250729T112218Z_s2c_msil2a_20250729t110641_n0511,casablanca_ma,2025-07-29T11:22:18.603000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250729T112218Z_s2c_msil2a_20250729t110641_n0511.npz
109,casablanca_ma_20250731T112214Z_s2a_msil2a_20250731t110651_n0511,casablanca_ma,2025-07-31T11:22:14.513000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250731T112214Z_s2a_msil2a_20250731t110651_n0511.npz
110,casablanca_ma_20250803T112157Z_s2b_msil2a_20250803t110619_n0511,casablanca_ma,2025-08-03T11:21:57.476000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250803T112157Z_s2b_msil2a_20250803t110619_n0511.npz
111,casablanca_ma_20250808T112215Z_s2c_msil2a_20250808t110641_n0511,casablanca_ma,2025-08-08T11:22:15.214000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250808T112215Z_s2c_msil2a_20250808t110641_n0511.npz
112,casablanca_ma_20250813T112159Z_s2b_msil2a_20250813t110619_n0511,casablanca_ma,2025-08-13T11:21:59.126000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250813T112159Z_s2b_msil2a_20250813t110619_n0511.npz
113,casablanca_ma_20250818T112216Z_s2c_msil2a_20250818t110641_n0511,casablanca_ma,2025-08-18T11:22:16.396000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250818T112216Z_s2c_msil2a_20250818t110641_n0511.npz
114,casablanca_ma_20250820T112210Z_s2a_msil2a_20250820t110651_n0511,casablanca_ma,2025-08-20T11:22:10.735000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250820T112210Z_s2a_msil2a_20250820t110651_n0511.npz
115,casablanca_ma_20250823T112158Z_s2b_msil2a_20250823t110619_n0511,casablanca_ma,2025-08-23T11:21:58.939000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250823T112158Z_s2b_msil2a_20250823t110619_n0511.npz
116,casablanca_ma_20250828T112215Z_s2c_msil2a_20250828t110641_n0511,casablanca_ma,2025-08-28T11:22:15.971000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250828T112215Z_s2c_msil2a_20250828t110641_n0511.npz
117,casablanca_ma_20250902T112156Z_s2b_msil2a_20250902t110619_n0511,casablanca_ma,2025-09-02T11:21:56.771000+00:00,cloud_state_dataset\states_npz\casablanca_ma_20250902T112156Z_s2b_msil2a_20250902t110619_n0511.npz
